Проверьте сайт на наличие ошибок. Укажите их.,,,
,,,
,web-версия,,мобильная версия
1,"Строчная буква вместо заглавной в строчке ""билет на самолет/поезд"" в разделе ""Стоимость тура""",http://icecream.me/eef242dfe38ff518dbd2331ab642d199,идентично
2,"Опечатка в слове ""шанс"" в блоке покупки тура",http://icecream.me/5a5882939c639f083d39c2c5a8465791,идентично
3,"Переход на сайт Tilda при нажатии на иконку ""Nation"" в левом верхнем углу в строке основного меню",http://icecream.me/78166ec36c6e7523ffa63b280051c01e,"Ошибка 404 при нажатии на иконку ""Nation"" в выпадающем меню в правом верхнем углу страницы"
4,"Система не отправляет письмо на почтовый ящик, указанный в поле ""Ваша почта"" в блоке бронирования тура после корректного заполнения всех полей и нажатия на кнопку ""Отправить""",,идентично
5,"Происходит переадресация на страницу сайта Tilda при нажатии на зеленую иконку соц.сети ""ВКонтакте"" в блоке ""Контакты""",,идентично
6,"Происходит переадресация на страницу сайта Tilda при нажатии на зеленую иконку мессенджера ""Telegram"" в блоке ""Контакты""",,идентично
7,"Происходит переадресация на страницу сайта Tilda при нажатии на зеленую иконку соц.сети ""Twitter"" в блоке ""Контакты""",,идентично
8,"Не подписаны верхнее и нижнее поле ввода в всплывающем окне в блоке покупки тура при нажатии на кнопку ""Купить""",http://icecream.me/8ba715fcf4915643fc81f71f270b23df,идентично
9,"Описано только 2 дня из 14 в блоке ""О путешествии""",,идентично
10,"Нет перехода в блок ""Направления"" при нажатии на кнопку ""Направления"" в верхнем меню сайта",,идентично
11,"Нет перехода в блок ""О нас"" при нажатии на кнопку ""О нас"" в верхнем меню сайта",,идентично
12,"Нет перехода в блок ""Отчета"" при нажатии на кнопку ""Отчеты"" в верхнем меню сайта",,идентично
13,"Нет перехода в блок ""Подготовка"" при нажатии на кнопку ""Подготовка"" в верхнем меню сайта",,идентично
14,Система принимает кириллицу в качестве почтового адреса при бронировании тура,https://drive.google.com/file/d/1QhflFI46d1mSrNKd9SNEMJIgWgElz4xL/view?usp=sharing,идентично
15,"Опечатка в слове ""команда"" в блоке ""О нас""",https://drive.google.com/file/d/1oOSPoAFHQk23i4UmP0owcQNcihUZ_C5k/view?usp=sharing,идентично
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,Ожидаемый результат,,